province,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>65
Aceh,478911,537104,528261,438222,464364,429164,438664,422363,372143,325866,263620,208182,162338,101849
Sumatera Utara,952665,1462130,1547803,1433311,1364888,1230886,1168068,1193314,1063741,930200,803032,679141,549957,359239
Sumatera Selatan,618113,801411,803245,670671,701905,669149,716058,718592,647672,554550,457035,380216,305147,195120
Sumatera Barat,389487,510705,531098,511365,511554,434815,387383,417305,383409,350176,295891,261827,227632,169405
Bengkulu,146897,183220,185753,175794,176346,165011,168269,168583,159049,132302,111443,91705,70871,42756
Riau,475832,668971,676459,511648,562070,532833,529463,552564,505176,430270,341539,256205,185139,109975
Kepulauan Riau,161571,206927,202800,150458,161340,171166,174654,198698,191290,150054,105000,69985,47457,30258
Jambi,312643,311953,304783,301388,303157,300671,298200,284256,267957,239532,200506,162273,121803,86194
Lampung,733589,785600,779540,711348,675642,651278,646337,642816,632329,584799,501941,418369,324108,221710
Kepulauan Bangka Belitung,111159,141629,138160,119916,116185,109125,124156,127881,117447,93164,74523,60239,49587,33738
Jakarta Raya,824281,967644,938142,865164,854494,862021,884095,1012152,970983,846964,705713,551371,401469,260560
Banten,931154,1123975,1067440,782224,1031621,1049150,1013087,1015187,932323,822127,682103,504439,368458,217291
Jawa Tengah,2563291,2955936,2937184,2705009,2935003,2916758,2743568,2941359,2808833,2572975,2395071,2121561,1749228,1199967
Jawa Barat,,,,,,,,,,,,,,
Daerah Istimewa Yogyakarta,216589,257650,272894,257533,262181,261454,241903,275663,277604,266178,263161,230874,200882,144994
Jawa Timur,2790020,2911221,2945089,2993787,3083015,3121291,3140707,3107654,3112020,2960622,2754554,2412423,1981773,3564613
Bali,247861,329529,344034,343714,348612,310375,275780,307223,326394,342009,303707,239413,188642,133243
Nusa Tenggara Timur,288969,511354,594709,604721,549817,458799,417874,399128,349168,311988,265497,230728,186263,122452
Nusa Tenggara Barat,424984,522648,503011,435000,446791,431735,457059,457387,424632,348726,296329,208768,181626,103798
Kalimantan Timur,300515,379777,370728,295287,326338,319679,310557,329026,301753,259002,210234,158500,110089,65927
Kalimantan Barat,391559,509025,502735,507989,487322,445660,451378,457554,414516,348189,286860,222775,176904,113114
Kalimantan Tengah,183635,250176,257680,235762,229247,219507,221854,227090,210487,179373,141670,106159,76100,45832
Kalimantan selatan,283181,370899,373322,348198,340167,332218,331096,338254,324022,299281,248196,189316,140459,83571
Kalimantan Utara,56607,70495,69698,60778,61241,58089,55018,57715,53812,45277,36165,25149,18117,11019
Maluku Utara,79783,125646,138300,144136,130015,113126,107086,106322,92869,79416,61049,46605,37047,25092
Maluku,110964,187580,203999,206264,186966,152100,144766,140949,122898,104714,86584,72483,58326,39748
Sulawesi Utara,137062,197555,212414,240205,226657,215367,187721,193581,198868,201475,176992,146049,115164,88653
Sulawesi Barat,110584,137293,147260,160165,141911,116255,107736,104440,97737,87937,73215,49699,39106,25204
Sulawesi Tengah,204232,270843,286626,293902,285860,246880,231714,238468,227926,202878,167839,129156,96747,64913
Gorontalo,85445,104407,108472,118326,112506,106583,84423,90206,86562,84041,68631,52816,38610,26584
Sulawesi Tenggara,204438,265682,275917,269804,248944,216477,211474,208328,179998,163010,133534,96931,75196,47929
Sulawesi Selatan,733603,698630,793862,818491,801555,768247,723047,676647,641472,582366,510176,429329,336370,252665
Papua Barat,,,,,,,,,,,,,,
Papua,,,,,,,,,,,,,,
